          Gradient method with preconditioner	 1.31	    Compute complete	  0.040577	         2	
          Gradient method with preconditioner	 1.32	    Compute complete	  0.026879	         2	
          Gradient method with preconditioner	 1.33	    Compute complete	  0.027158	         2	
          Gradient method with preconditioner	 1.34	    Compute complete	  0.026827	         2	
          Gradient method with preconditioner	 1.35	    Compute complete	  0.033757	         2	
          Gradient method with preconditioner	 1.36	    Compute complete	  0.029905	         2	
          Gradient method with preconditioner	 1.37	    Compute complete	  0.037548	         2	
          Gradient method with preconditioner	 1.38	    Compute complete	  0.026733	         2	
          Gradient method with preconditioner	 1.39	    Compute complete	  0.026902	         2	
          Gradient method with preconditioner	  1.4	    Compute complete	  0.027157	         2	
          Gradient method with preconditioner	 1.41	    Compute complete	  0.026327	         2	
          Gradient method with preconditioner	 1.42	    Compute complete	  0.028054	         2	
          Gradient method with preconditioner	 1.43	    Compute complete	  0.027198	         2	
          Gradient method with preconditioner	 1.44	    Compute complete	     0.034	         2	
          Gradient method with preconditioner	 1.45	    Compute complete	  0.029306	         2	
          Gradient method with preconditioner	 1.46	    Compute complete	  0.026171	         2	
          Gradient method with preconditioner	 1.47	    Compute complete	  0.028049	         2	
          Gradient method with preconditioner	 1.48	    Compute complete	  0.026788	         2	
          Gradient method with preconditioner	 1.49	    Compute complete	  0.027171	         2	
          Gradient method with preconditioner	  1.5	    Compute complete	  0.029896	         2	
          Gradient method with preconditioner	 1.51	    Compute complete	  0.026971	         2	
          Gradient method with preconditioner	 1.52	    Compute complete	  0.027116	         2	
          Gradient method with preconditioner	 1.53	    Compute complete	  0.035814	         2	
          Gradient method with preconditioner	 1.54	    Compute complete	  0.026774	         2	
          Gradient method with preconditioner	 1.55	    Compute complete	  0.026818	         2	
          Gradient method with preconditioner	 1.56	    Compute complete	  0.028278	         2	
          Gradient method with preconditioner	 1.57	    Compute complete	   0.02685	         2	
          Gradient method with preconditioner	 1.58	    Compute complete	  0.027491	         2	
          Gradient method with preconditioner	 1.59	    Compute complete	  0.026346	         2	
          Gradient method with preconditioner	  1.6	    Compute complete	  0.026628	         2	
          Gradient method with preconditioner	 1.61	    Compute complete	  0.030665	         2	
          Gradient method with preconditioner	 1.62	    Compute complete	  0.034077	         2	
          Gradient method with preconditioner	 1.63	    Compute complete	  0.026922	         2	
          Gradient method with preconditioner	 1.64	    Compute complete	  0.029755	         2	
          Gradient method with preconditioner	 1.65	    Compute complete	  0.026739	         2	
          Gradient method with preconditioner	 1.66	    Compute complete	  0.027572	         2	
          Gradient method with preconditioner	 1.67	    Compute complete	  0.033323	         2	
          Gradient method with preconditioner	 1.68	    Compute complete	  0.026882	         2	
          Gradient method with preconditioner	 1.69	    Compute complete	  0.029984	         2	
          Gradient method with preconditioner	  1.7	    Compute complete	  0.026746	         2	
          Gradient method with preconditioner	 1.71	    Compute complete	  0.026896	         2	
          Gradient method with preconditioner	 1.72	    Compute complete	  0.027076	         2	
          Gradient method with preconditioner	 1.73	    Compute complete	  0.026346	         2	
          Gradient method with preconditioner	 1.74	    Compute complete	   0.02814	         2	
          Gradient method with preconditioner	 1.75	    Compute complete	  0.026829	         2	
          Gradient method with preconditioner	 1.76	    Compute complete	  0.033632	         2	
          Gradient method with preconditioner	 1.77	    Compute complete	  0.029292	         2	
          Gradient method with preconditioner	 1.78	    Compute complete	  0.029923	         2	
          Gradient method with preconditioner	 1.79	    Compute complete	  0.028018	         2	
          Gradient method with preconditioner	  1.8	    Compute complete	  0.027145	         2	
          Gradient method with preconditioner	 1.81	    Compute complete	  0.026921	         2	
          Gradient method with preconditioner	 1.82	    Compute complete	   0.02629	         2	
          Gradient method with preconditioner	 1.83	    Compute complete	  0.026694	         2	
          Gradient method with preconditioner	 1.84	    Compute complete	  0.026854	         2	
          Gradient method with preconditioner	 1.85	    Compute complete	  0.036403	         2	
          Gradient method with preconditioner	 1.86	    Compute complete	  0.026795	         2	
          Gradient method with preconditioner	 1.87	    Compute complete	  0.027025	         2	
          Gradient method with preconditioner	 1.88	    Compute complete	  0.027437	         2	
          Gradient method with preconditioner	 1.89	    Compute complete	  0.026634	         2	
          Gradient method with preconditioner	  1.9	    Compute complete	  0.027248	         2	
          Gradient method with preconditioner	 1.91	    Compute complete	  0.028402	         2	
          Gradient method with preconditioner	 1.92	    Compute complete	  0.027117	         2	
          Gradient method with preconditioner	 1.93	    Compute complete	  0.032964	         2	
          Gradient method with preconditioner	 1.94	    Compute complete	  0.045929	         2	
          Gradient method with preconditioner	 1.95	    Compute complete	  0.026984	         2	
          Gradient method with preconditioner	 1.96	    Compute complete	  0.027057	         2	
          Gradient method with preconditioner	 1.97	    Compute complete	  0.026766	         2	
          Gradient method with preconditioner	 1.98	    Compute complete	  0.026737	         2	
          Gradient method with preconditioner	 1.99	    Compute complete	  0.033517	         2	
