          Gradient method with preconditioner	 1.42	    Compute complete	    19.305	         3	
          Gradient method with preconditioner	 1.43	    Compute complete	    17.483	         3	
          Gradient method with preconditioner	 1.44	    Compute complete	   17.4296	         3	
          Gradient method with preconditioner	 1.45	    Compute complete	   16.5997	         3	
          Gradient method with preconditioner	 1.46	    Compute complete	   17.2859	         3	
          Gradient method with preconditioner	 1.47	    Compute complete	   17.4119	         3	
          Gradient method with preconditioner	 1.48	    Compute complete	   20.1009	         3	
          Gradient method with preconditioner	 1.49	    Compute complete	   17.7494	         3	
          Gradient method with preconditioner	  1.5	    Compute complete	   17.7446	         3	
          Gradient method with preconditioner	 1.51	    Compute complete	   17.8541	         3	
          Gradient method with preconditioner	 1.52	    Compute complete	     16.76	         3	
          Gradient method with preconditioner	 1.53	    Compute complete	   16.6683	         3	
          Gradient method with preconditioner	 1.54	    Compute complete	   18.3676	         3	
          Gradient method with preconditioner	 1.55	    Compute complete	   16.6029	         3	
          Gradient method with preconditioner	 1.56	    Compute complete	   16.5472	         3	
          Gradient method with preconditioner	 1.57	    Compute complete	   17.6271	         3	
          Gradient method with preconditioner	 1.58	    Compute complete	   17.5905	         3	
          Gradient method with preconditioner	 1.59	    Compute complete	   17.7123	         3	
          Gradient method with preconditioner	  1.6	    Compute complete	    32.225	         3	
          Gradient method with preconditioner	 1.61	    Compute complete	   16.8849	         3	
          Gradient method with preconditioner	 1.62	    Compute complete	   17.7017	         3	
          Gradient method with preconditioner	 1.63	    Compute complete	   17.5977	         3	
          Gradient method with preconditioner	 1.64	    Compute complete	   17.5929	         3	
          Gradient method with preconditioner	 1.65	    Compute complete	   17.9384	         3	
          Gradient method with preconditioner	 1.66	    Compute complete	   18.9472	         3	
          Gradient method with preconditioner	 1.67	    Compute complete	    16.828	         3	
          Gradient method with preconditioner	 1.68	    Compute complete	   17.4089	         3	
          Gradient method with preconditioner	 1.69	    Compute complete	   18.0818	         3	
          Gradient method with preconditioner	  1.7	    Compute complete	   16.9493	         3	
          Gradient method with preconditioner	 1.71	    Compute complete	    17.867	         3	
          Gradient method with preconditioner	 1.72	    Compute complete	   19.2758	         3	
          Gradient method with preconditioner	 1.73	    Compute complete	   17.5821	         3	
          Gradient method with preconditioner	 1.74	    Compute complete	   16.8227	         3	
          Gradient method with preconditioner	 1.75	    Compute complete	   16.6385	         3	
          Gradient method with preconditioner	 1.76	    Compute complete	   16.6287	         3	
          Gradient method with preconditioner	 1.77	    Compute complete	    17.023	         3	
          Gradient method with preconditioner	 1.78	    Compute complete	   18.5433	         3	
          Gradient method with preconditioner	 1.79	    Compute complete	   17.8555	         3	
          Gradient method with preconditioner	  1.8	    Compute complete	   18.1218	         3	
          Gradient method with preconditioner	 1.81	    Compute complete	   18.9645	         3	
          Gradient method with preconditioner	 1.82	    Compute complete	   18.0925	         3	
          Gradient method with preconditioner	 1.83	    Compute complete	   17.5747	         3	
          Gradient method with preconditioner	 1.84	    Compute complete	   18.9275	         3	
          Gradient method with preconditioner	 1.85	    Compute complete	   16.6977	         3	
          Gradient method with preconditioner	 1.86	    Compute complete	   16.5566	         3	
          Gradient method with preconditioner	 1.87	    Compute complete	   16.7296	         3	
          Gradient method with preconditioner	 1.88	    Compute complete	   17.5915	         3	
          Gradient method with preconditioner	 1.89	    Compute complete	   17.5994	         3	
          Gradient method with preconditioner	  1.9	    Compute complete	   19.2381	         3	
          Gradient method with preconditioner	 1.91	    Compute complete	   18.4883	         3	
          Gradient method with preconditioner	 1.92	    Compute complete	   17.4628	         3	
          Gradient method with preconditioner	 1.93	    Compute complete	   16.7755	         3	
          Gradient method with preconditioner	 1.94	    Compute complete	   16.6456	         3	
          Gradient method with preconditioner	 1.95	    Compute complete	   16.8449	         3	
          Gradient method with preconditioner	 1.96	    Compute complete	   19.2724	         3	
          Gradient method with preconditioner	 1.97	    Compute complete	   17.6288	         3	
          Gradient method with preconditioner	 1.98	    Compute complete	   17.5528	         3	
          Gradient method with preconditioner	 1.99	    Compute complete	   16.8369	         3	
